candidato,url,caption,data,likes,shortCode,comentarios,categoria,validacao_1,subcategoria,validacao_2,formato,periodo,Observação,...14
Flavio,https://www.instagram.com/p/DcHnG-vJMLS/,"Ganhei um presente muito especial da @tabata_paz_paz e da sua filha, Bella. 

Ele já veio comigo e com a @fernanda.bolsonaro para Brasília, viu? Tenho certeza de que as meninas vão ficar muito felizes com o novo integrante da família.

Qual pode ser o nome do nosso novo mascote? Responde nos comentários",2026-08-16T00:00:00Z,152408,DcHnG-vJMLS,11793,Conteúdo Personalista,Conteúdo personalista,Relações Pessoais E Interpessoais,Relações pessoais e interpessoais,Vídeo,16-22_08,NA,NA
Flavio,https://www.instagram.com/p/DcG-KDtJj79/,"A voz do povo é a voz da mudança!

E o povo já decidiu que não quer essa agenda de atraso e retrocesso da esquerda, o povo quer vida digna, quer segurança, quer geladeira cheia. E isso vai se realizar. 

Essa mensagem, escrita com batom, é a promessa para 2026: o Brasil vai vencer!

VOTE 2️⃣2️⃣",2026-08-16T00:00:00Z,146961,DcG-KDtJj79,5759,Conteúdo Programático,Conteúdo programático,Campanha Negativa,campanha negativa,Vídeo,16-22_08,NA,NA
Renan,https://www.instagram.com/p/DcWBGthtRGX/,"preciso de ajuda
Siga @renansantosmbl",2026-08-22T00:00:00Z,237771,DcWBGthtRGX,14117,Conteúdo Programático,Conteúdo programático,Mobilização Política,Mobilização política,Vídeo,16-22_08,NA,NA
Renan,https://www.instagram.com/p/DcJRYupN7aJ/,"Lula fugiu do debate! 
Siga @renansantosmbl",2026-08-17T00:00:00Z,167032,DcJRYupN7aJ,5920,Conteúdo Programático,Conteúdo programático,Campanha Negativa,Campanha Negativa,Vídeo,16-22_08,NA,NA
Renan,https://www.instagram.com/p/DcGad-3Bf7O/,"Não veja esse vídeo! 

Vote 14",2026-08-16T00:00:00Z,165894,DcGad-3Bf7O,4807,Conteúdo Personalista,Conteúdo personalista,Competência,Competência,Vídeo,16-22_08,NA,NA
Renan,https://www.instagram.com/p/DcO6L9qE_hO/,"As ""decijanjas"" precisam acabar.
Siga @renansantosmbl",2026-08-19T00:00:00Z,162592,DcO6L9qE_hO,4496,Conteúdo Personalista,Conteúdo personalista,Campanha Negativa,Campanha Negativa,Vídeo,16-22_08,NA,NA
Renan,https://www.instagram.com/p/DcFcpGuN3Ea/,"É oficial: finalmente posso falar que sou candidato a presidente e meu número é 14. Nos próximos 45 dias vamos ter que mostrar o óbvio para o Brasil: que bandido tem que ser ou preso ou morto, que favela não é um lugar bom para se morar, que o Brasil não precisa ficar de joelhos para a China ou os EUA, e que os brasileiros não precisamos ficar entre um escândalo do Banco Master e um escândalo do INSS. 

Lula e Flávio não são alternativas, são apenas a manutenção de um Brasil que pune a produtividade e premia a corrupção. Montei meu próprio partido para não ficar na mão de político algum e fazer algo novo. É por isso que agora peço o seu voto. O futuro é glorioso. Vote 14 para Presidente da República.",2026-08-16T00:00:00Z,115325,DcFcpGuN3Ea,3627,Conteúdo Programático,Conteúdo programático,Mobilização Política,Mobilização política,Foto,16-22_08,NA,NA
Renan,https://www.instagram.com/p/DcPhQWtNPl4/,"Vídeos completos amanhã!
Siga @renansantosmbl",2026-08-20T00:00:00Z,114865,DcPhQWtNPl4,3699,Conteúdo Personalista,Conteúdo personalista,Competência,Competência,Vídeo,16-22_08,NA,NA
Renan,https://www.instagram.com/p/DcUBNTftx2g/,"URGENTE: PM da Paraíba deu exemplo e botou fogo em mais barricadas de facções criminosas. Pra quem acha que era só entulho, a PM, que tá todo dia enfrentando esses caras, mostra que não. Força aos policiais da Paraíba! 

Siga @renansantosmbl",2026-08-21T00:00:00Z,106179,DcUBNTftx2g,2068,Conteúdo Programático,Conteúdo programático,Pautas E Problemas Públicos,Pautas e Problemas Públicos,Foto,16-22_08,NA,NA
Renan,https://www.instagram.com/p/DcHMwqDtbzM/,"Já imaginaram?
Siga @renansantosmbl",2026-08-16T00:00:00Z,104185,DcHMwqDtbzM,4994,Conteúdo Programático,Conteúdo programático,Pautas E Problemas Públicos,Pautas e Problemas Públicos,Vídeo,16-22_08,NA,NA
Renan,https://www.instagram.com/p/DcTSdJ4t2mV/,"Eu fui na Arena PixBet falar sobre uma coisa muito suspeita.

Siga @renansantosmbl",2026-08-21T00:00:00Z,103686,DcTSdJ4t2mV,4044,Conteúdo Personalista,Conteúdo personalista,Competência,Competência,Vídeo,16-22_08,NA,NA
